Word,,frq,"exclude, x if yes",Part of speach,Example Inflections,Translation,Sentence,Notes
Pian,2,,,Adv. of time,,"Soon, quickly",Tule Pian! Come soon,
Sanoa,1,,,Verb type 1,"Sanon, Sanoo, Sanonut","Say, Tell. Different than Puhua",Mää Sanoin sen. I said it,
Seuraava,1,,,Adjective,"Seuraavan, Seuraavassa","Next, Following",Seuraava bussi saapuu pian. The next bus comes soon,
Tarvita,3,,,Verb type 4,"Tarvitsen, Tarvitsee",Need,Tarvitsen ruokaa. I need food,"Tarvita is almost exclusively used on nouns, täytyy or pitää is prefered for verbs"
Valita,1,,,Verb type 4,"Valitsen, Valitsee",Choose,Valitse yksi vaihtoehdoista. Choose one of the options,
Puhelin,2,,,Noun,"Puhelime-, Puhelimen, Puhelinta",Phone,Mennä puhelimelle. Go on my phone,puhelinnumero - phone number
Täytyä,1,,,Verb,"Täydyn, Täytyy",Must do,Minun täytyy syödä pian I must eat soon,"Followed by verb, minä/sinä always genative and täytyy is 3rd person sing."
Kanssa,1,,,Postposition,,With,Syön Timon kanssa. I eat with Timo,Object is declined to genitive
Keskusta ,1,,,Noun,Keskusta,City center,Asutko keskustan lähellä? Do you live near the center?,
Lähellä,2,,,Adj/Adv. of place,,Nearby,,
Verkkosivusto,1,,,Noun,Verkkosivustolla,Website,E-Kirja on tällä verkkosivustolla. Mikä tämä verkkosivusto on?,
Luokkahuone,1,,,Noun,Luokkahuoneessa,Classroom,Matematiikan luokkahuone on tuolla,
Luokka,1,,,Noun,"Luokkaa, luokan, luokassa",Class,Matematiikkaluokka on tuolla,
Neuvoa,1,3,x,Verb type 1,"Neuvon, Neuvomme",To Advise,,
Math Vocab,,,x,,,,,
Jaksollinen,1,2,,Adj,"Jaksollisia (plu. part.), ",Periodic,,
Jaksollisesti,1,Mon Mar 02 2026 00:00:00 GMT+0200 (Eastern European Standard Time),,Adv. of frequency,,, Lääke otetaan jaksollisesti. The Medicine is taken periodically,Jaksollisesti
Pilkku,1,4,,,,"""Point"", as in a decimal. 0.5 = nolla pilkku viisi",,
Funktio,1,4,,Noun,Function,"As in, for example f(x)",,
Jakso ,,,,Noun,Period of a Function,,,
Amplitudi ,,,,Noun,Amplitude,Height of the devitation from the center,,
Taajuus ,,,,Noun,Frequency,Cycles per unit of time,,
Siirtää,,,,Verb,Siirrän,"To move, transfer, translate",,
Kokonaisluku,,,,Noun,"Kokonaisluvun, kokonaisluvussa",Integer,,
Määrittelyjoukko,,,,Noun,,Domain,,
Piste ,,,,Noun,,"Dot/Point, used with the cartesian ",,
